Date	Month	Day	Fish.ID	Liver.ID	Fillet.ID	Whole	Tank	Treatment	Sex	Length	Weight	Liver.Weight	God.Weight	HSI	GSI	Cortisol
6/2/2010	6	2	PFw-T32.6-2	NA	NA	PFw-T32.6-2	32	PCB.Fed	NA	273	349	NA	NA	NA	NA	NA
6/2/2010	6	2	PF.-.17	PFf-T32.6-2	PFl-T32.6-2	NA	32	PCB.Fed	M	315	488	7.43	0.43	1.522540984	0.088114754	9.2
6/2/2010	6	2	PF-18	PFf-T32.6-2	PFl-T32.6-2	NA	32	PCB.Fed	M	318	502	7.51	0.95	1.496015936	0.189243028	10.4
6/2/2010	6	2	PF-19	PFf-T32.6-2	PFl-T32.6-2	NA	32	PCB.Fed	M	322	463	6.15	0.65	1.328293737	0.140388769	5.4
6/2/2010	6	2	CFw-T30.6-2	NA	NA	CFw-T30.6-2	30	Control.Fed	NA	305	513	NA	NA	NA	NA	NA
6/2/2010	6	2	CF.-.17	CFf-T30.6-2	CFl-T30.6-2	NA	30	Control.Fed	F	362	740	12.85	0.77	1.736486486	0.104054054	10.2
6/2/2010	6	2	CF-18	CFf-T30.6-2	CFl-T30.6-2	NA	30	Control.Fed	M	368	708	10.08	0.75	1.423728814	0.105932203	7.7
6/2/2010	6	2	CF-19	CFf-T30.6-2	CFl-T30.6-2	NA	30	Control.Fed	M	402	951	13.8	1.28	1.451104101	0.134595163	6.9
6/2/2010	6	2	PNw-T28.6-2	NA	NA	PNw-T28.6-2	28	PCB.Not.Fed	NA	285	419	NA	NA	NA	NA	NA
6/2/2010	6	2	PN-17	PNf-T28.6-2	PNL-T28.6-2	NA	28	PCB.Not.Fed	M	322	545	11.2	0.26	2.055045872	0.047706422	9.1
6/2/2010	6	2	PN-18	PNf-T28.6-2	PNL-T28.6-2	NA	28	PCB.Not.Fed	F	325	511	10.18	1.01	1.992172211	0.197651663	11.4
6/2/2010	6	2	PN-19	PNf-T28.6-2	PNL-T28.6-2	NA	28	PCB.Not.Fed	M	328	540	10.1	1.17	1.87037037	0.216666667	7.2
6/2/2010	6	2	CFw-T26.6-2	NA	NA	CFw-T26.6-2	26	Control.Fed	NA	338	698	NA	NA	NA	NA	NA
