TRT,Fish ID,VKL,COR_BACT,Cytotoxic_cell,CYTO_C_Vmax5,CYTO_C_max_OD,NBT_ROS,Cort,Time,Tank
PF,PF - 17,8.7,23.1,8.15,7.49,1.31,1.26,9.2,T1,32
PF,PF - 18,29,25.6,10.73,6.14,1.19,1.73,10.4,T1,32
PF,PF - 19,20.6,6.7,15.88,5.39,1.25,1.36,5.4,T1,32
PF,PF - 20,40.8,31.2,14.21,6.67,1.41,1.31,6.8,T1,22
PF,PF - 21,42.6,42.5,6.52,1.54,1.13,1.41,7.5,T1,22
PF,PF - 22,40,28.5,19.9,8.26,1.47,1.25,6,T1,22
PF,PF - 23,15.4,21,15.14,6.52,1.22,1.45,10.6,T1,27
PF,PF - 24,19.6,12.8,21.08,5.7,1.31,1.45,6.3,T1,27
PF,PF - 25,8.6,16.2,23.98,6.79,1.25,2.04,4.4,T1,27
PF,PF - 26,21.2,19.9,23.18,8.97,1.53,1.91,8.7,T1,2
PF,PF - 27,2.8,18.1,16.97,3.15,1.17,1.05,6.5,T1,2
PF,PF - 28,6.6,8.2,18.31,6.81,1.3,1.98,7.3,T1,2
PF,PF - 29,26.6,16.2,19.98,6.98,1.59,1.25,7.6,T2,32
PF,PF - 30,15.5,59.4,23.51,5.86,1.53,1.48,6.1,T2,32
PF,PF - 31,20.2,23.7,5.1,6.89,1.45,1.54,5.4,T2,32
PF,PF - 32,52.4,25.8,9.11,7.82,1.6,0.72,6.1,T2,22
PF,PF - 33,24.3,30.2,9.99,4.86,1.59,1.17,6.7,T2,22
PF,PF - 34,61.6,19.2,24.95,7.41,1.64,1.13,4.2,T2,22
PF,PF - 35,27,20.1,9.84,20.95,2.23,2.93,6.5,T2,27
PF,PF - 36,23.7,44.7,19.52,20.51,2.12,2.32,7.9,T2,27
PF,PF - 37,19.2,12.2,14.23,14.72,1.89,2.22,8.1,T2,27
PF,PF - 38,22,5.9,11.42,23.04,2.07,1.57,9.8,T2,2
PF,PF - 39,37.6,25.3,12.73,25.46,2.17,2.15,11,T2,2
PF,PF - 40,33.6,28,3.09,17.94,2.04,1.96,7.6,T2,2
PF,PF - 41,35.2,35.4,19.13,,,2.41,11.5,T3,32
PF,PF - 42,21.3,25.1,15.39,,,1.86,10.7,T3,32
PF,PF - 43,6.8,61.4,6.82,,,1.15,7.4,T3,32
PF,PF - 44,20,22.8,12.4,,,2.16,6.1,T3,22
PF,PF - 45,225,33.9,12.13,,,1.97,5.2,T3,22
PF,PF - 46,24,46.2,8.36,,,3.98,10.6,T3,22
PF,PF - 47,26.4,22,3.52,6.47,1.38,2.53,7.1,T3,27
PF,PF - 48,24.4,18,11.71,10.71,1.7,2.21,6.5,T3,27
PF,PF - 49,48.8,55.4,19.48,13.12,1.87,1.74,7.6,T3,27
PF,PF - 50,20.6,37.4,9.26,5.3,1.43,1.99,6.9,T3,2
PF,PF - 51,7.9,14.6,11.38,5.37,1.33,2.14,8.3,T3,2
PF,PF - 52,18.4,35.9,12.49,5.19,1.39,3.05,5.4,T3,2
PN,PN - 17,6.35,6.3,22.13,13.25,1.44,1.58,9.1,T1,28
PN,PN - 18,42.7,38.5,15.49,10.13,1.17,1.77,11.4,T1,28
PN,PN - 19,33.4,16.2,23.02,7.04,1.19,1.32,7.2,T1,28
PN,PN - 20,12.9,16.7,11.27,8.61,1.23,1.48,5.2,T1,3
PN,PN - 21,40.2,30.1,13.57,5.8,1.25,1.18,15.2,T1,3
PN,PN - 22,27,16.4,15.57,10.23,1.26,1.7,6.5,T1,3
PN,PN - 23,17.8,39.4,17.99,6.11,1.25,1.58,7.4,T1,29
PN,PN - 24,11.1,11.5,24.24,9.31,1.26,1.09,6.2,T1,29
PN,PN - 25,13.6,11.1,14.11,1.16,1.11,1.97,7.8,T1,29
PN,PN - 26,17.6,18.6,19.11,4.19,1.32,1.42,8.9,T1,23
PN,PN - 27,19.5,18.2,14.82,3.3,1.19,1.31,5.7,T1,23
PN,PN - 28,31.8,15.8,12.37,5.68,1.18,1.19,4.9,T1,23
PN,PN - 29,13.4,8.1,7.41,6.34,1.2,1.38,2.8,T2,28
PN,PN - 30,17.2,2.3,8.53,10.04,1.49,1.4,8.1,T2,28
PN,PN - 31,22.4,11.7,8.02,6.21,1.37,0.98,3.6,T2,28
PN,PN - 32,19.2,20.7,11.06,10.32,1.66,0.92,3.1,T2,3
PN,PN - 33,16.8,10.8,11.48,7.46,1.45,1.17,5.4,T2,3
PN,PN - 34,19.6,4.3,13.22,5.63,1.42,0.96,6.3,T2,3
PN,PN - 35,14.8,1.1,8.24,22.57,2.08,2.27,9.5,T2,29
PN,PN - 36,11.3,0,9.32,27.43,2.15,1.95,7.8,T2,29
PN,PN - 37,19.8,6.3,7.65,11.21,1.69,1.82,5.1,T2,29
PN,PN - 38,20.8,4.2,11.72,26.77,2.09,2.47,6.8,T2,23
PN,PN - 39,23,18,7.72,22.65,2.21,1.86,4.2,T2,23
PN,PN - 40,22.1,5.8,0.84,24.6,2.18,1.95,13,T2,23
PN,PN - 41,4.3,3,8.67,,,0.98,7.1,T3,28
PN,PN - 42,4.4,0,2.26,,,1.04,8.3,T3,28
PN,PN - 43,16,2.1,1.35,,,1.27,6,T3,28
PN,PN - 44,16.3,6.3,2.6,,,1.71,2.1,T3,3
PN,PN - 45,26,0,5.87,,,1.06,2.7,T3,3
PN,PN - 46,12.7,4.8,5.94,,,1.54,6.6,T3,3
PN,PN - 47,11.3,19.3,1.18,12.86,1.73,1.09,4.8,T3,29
PN,PN - 48,13.2,10.9,0.9,4.63,1.34,1.44,2.4,T3,29
PN,PN - 49,22.4,5.5,4.99,16.61,1.94,0.97,3.8,T3,29
PN,PN - 50,17.2,0,2.95,2.69,1.21,1.62,11.2,T3,23
PN,PN - 51,15.5,1.9,7.15,9.28,1.87,1.11,8.4,T3,23
PN,PN - 52,10.3,12.5,7.95,11.37,1.81,1.03,3.5,T3,23
CF,CF - 17,8.25,49.2,10.58,8.32,1.15,2.56,10.2,T1,30
CF,CF - 18,27,25.1,20.78,8.64,1.18,2.75,7.7,T1,30
CF,CF - 19,6.5,28.9,23.51,6.58,1.23,1.31,6.9,T1,30
CF,CF - 20,30.2,30.7,19.13,8.1,1.2,1.72,8.7,T1,26
CF,CF - 21,25.6,20.4,10.24,5.36,1.26,2.24,10.1,T1,26
CF,CF - 22,26,55.7,15.58,4.97,1.17,2.26,10.2,T1,26
CF,CF - 23,26.6,46.5,14.34,6.54,1.3,2.04,8.4,T1,24
CF,CF - 24,36,38.9,19.37,4.89,1.17,1.68,6.8,T1,24
CF,CF - 25,31.6,36.5,19.62,5.83,1.26,1.71,10.4,T1,24
CF,CF - 26,26.4,46.2,13.18,11.69,1.56,3.4,9.8,T1,4
CF,CF - 27,29.6,27.7,15.17,10.28,1.36,1.56,8.5,T1,4
CF,CF - 28,30.8,36.1,10.79,10.38,1.45,1.55,13.5,T1,4
CF,CF - 29,32.6,52.3,20.27,9.69,1.18,1.35,12.7,T2,30
CF,CF - 30,25.4,45.1,11.3,9.09,1.14,1.14,7.4,T2,30
CF,CF - 31,26.4,36.6,18.01,8.35,1.49,1.51,7.9,T2,30
CF,CF - 32,47.6,22,16.15,8.2,1.37,1.57,10.3,T2,26
CF,CF - 33,20.3,25.7,18.22,9.54,1.8,2.21,8.1,T2,26
CF,CF - 34,29.4,40,14.72,5.97,1.41,1.41,11.4,T2,26
CF,CF - 35,30.8,42.9,17.07,7,1.66,1.76,7.9,T2,24
CF,CF - 36,18,59.1,19.61,7.25,1.38,1.42,8.8,T2,24
CF,CF - 37,28.2,46.2,24.8,6.36,1.58,1.41,6.7,T2,24
CF,CF - 38,36.2,50.2,20.19,6.64,1.85,1.51,10.5,T2,4
CF,CF - 39,22.5,28.9,14.73,16.86,2.29,2.14,9.6,T2,4
CF,CF - 40,49.8,52.8,14.9,23.96,2.38,2.27,12.1,T2,4
CF,CF - 41,6.8,18.1,20.88,,,3.25,7.1,T3,30
CF,CF - 42,34,34.5,20.3,,,1.27,6.9,T3,30
CF,CF - 43,14.8,29.6,12.78,,,2.63,10.7,T3,30
CF,CF - 44,13.7,45.6,22.28,,,2.57,10.2,T3,26
CF,CF - 45,29.1,66.2,21.98,,,3.28,8.6,T3,26
CF,CF - 46,17,31.8,21.34,,,1.61,8.4,T3,26
CF,CF - 47,25,22,21.42,,,2.29,7.9,T3,24
CF,CF - 48,11.3,27.3,9.37,,,2.11,9.6,T3,24
CF,CF - 49,38.6,48.3,16.92,,,3.4,7.7,T3,24
