	Client.ID	Time	Compound	IUPAC	Result	Units	sample	tissue
21984	CFf-T24.4-6	T0	Total.PCBs	NA	7820	ng/Kg	CFf	f
3471	CFf-T24.6-2	T1	Total.PCBs	NA	35800	ng/Kg	CFf	f
37676	CFf-T24.6-29.EPA.SPLIT	T2	Total.PCBs	NA	46800	ng/Kg	CFf	f
45851	CFf-T24.7-20	T3	Total.PCBs	NA	20100	ng/Kg	CFf	f
20496	CFf-T26.4-6	T0	Total.PCBs	NA	11000	ng/Kg	CFf	f
8679	CFf-T26.6-2.EPA.SPLIT	T1	Total.PCBs	NA	16200	ng/Kg	CFf	f
36933	CFf-T26.6-29.EPA.SPLIT	T2	Total.PCBs	NA	18500	ng/Kg	CFf	f
45107	CFf-T26.7-20	T3	Total.PCBs	NA	11900	ng/Kg	CFf	f
19752	CFf-T30.4-6	T0	Total.PCBs	NA	9000	ng/Kg	CFf	f
7191	CFf-T30.6-2.EPA.SPLIT	T1	Total.PCBs	NA	12400	ng/Kg	CFf	f
35445	CFf-T30.6-29.EPA.SPLIT	T2	Total.PCBs	NA	16700	ng/Kg	CFf	f
43619	CFf-T30.7-20.EPA.SPLIT	T3	Total.PCBs	NA	18100	ng/Kg	CFf	f
23472	CFf-T4.4-6	T0	Total.PCBs	NA	16800	ng/Kg	CFf	f
10663	CFf-T4.6-3	T1	Total.PCBs	NA	114000	ng/Kg	CFf	f
15862	CFf-T4.6-30.EPA.SPLIT	T2	Total.PCBs	NA	97600	ng/Kg	CFf	f
53043	CFf-T4.7-21.EPA.SPLIT	T3	Total.PCBs	NA	23900	ng/Kg	CFf	f
22232	CFl-T24.4-6	T0	Total.PCBs	NA	7320	ng/Kg	CFl	l
3223	CFl-T24.6-2	T1	Total.PCBs	NA	5500	ng/Kg	CFl	l
37428	CFl-T24.6-29	T2	Total.PCBs	NA	4330	ng/Kg	CFl	l
45603	CFl-T24.7-20	T3	Total.PCBs	NA	2230	ng/Kg	CFl	l
20744	CFl-T26.4-6	T0	Total.PCBs	NA	1750	ng/Kg	CFl	l
8431	CFl-T26.6-2	T1	Total.PCBs	NA	650	ng/Kg	CFl	l
36685	CFl-T26.6-29	T2	Total.PCBs	NA	1090	ng/Kg	CFl	l
44859	CFl-T26.7-20	T3	Total.PCBs	NA	1080	ng/Kg	CFl	l
20000	CFl-T30.4-6	T0	Total.PCBs	NA	2580	ng/Kg	CFl	l
6943	CFl-T30.6-2	T1	Total.PCBs	NA	704	ng/Kg	CFl	l
35197	CFl-T30.6-29	T2	Total.PCBs	NA	962	ng/Kg	CFl	l
43371	CFl-T30.7-20	T3	Total.PCBs	NA	1220	ng/Kg	CFl	l
23720	CFl-T4.4-6	T0	Total.PCBs	NA	2100	ng/Kg	CFl	l
10415	CFl-T4.6-3	T1	Total.PCBs	NA	14700	ng/Kg	CFl	l
15614	CFl-T4.6-30	T2	Total.PCBs	NA	6890	ng/Kg	CFl	l
